iter	Logloss
0	0.6584381122
1	0.6275651091
2	0.6014607408
3	0.5802748655
4	0.5478096799
5	0.5300406946
6	0.5139320475
7	0.4928144917
8	0.4753834057
9	0.4605643361
10	0.4476710697
11	0.4336145758
12	0.4212829252
13	0.413548443
14	0.4078573301
15	0.3980426509
16	0.3906062875
17	0.3809433457
18	0.374452433
19	0.3692285969
20	0.3630771809
21	0.3581668651
22	0.3488697708
23	0.3426427826
24	0.3383781023
25	0.3320900049
26	0.3277406625
27	0.3196851602
28	0.3164422362
29	0.3140678489
30	0.3116669386
31	0.3089373432
32	0.3064832604
33	0.3027959569
34	0.2992807641
35	0.2948483463
36	0.2905862726
37	0.2890655202
38	0.2870375572
39	0.2850444082
40	0.2807912285
41	0.279418776
42	0.2746296269
43	0.272339367
44	0.2692704425
45	0.2671314885
46	0.2639972752
47	0.2629039442
48	0.2617996072
49	0.258938461
50	0.2565194948
51	0.2549542914
52	0.252800786
53	0.2517218934
54	0.2497464954
55	0.2480920079
56	0.2469796349
57	0.245005672
58	0.2438315263
59	0.2413615246
60	0.2402471714
61	0.2392095831
62	0.2380225073
63	0.2374252601
64	0.2343842822
65	0.2316369787
66	0.2308739535
67	0.2296534307
68	0.2288229994
69	0.2280996952
70	0.2272868673
71	0.2248246732
72	0.2240472408
73	0.2231792186
74	0.2218625815
75	0.2213011754
76	0.2207067876
77	0.219961207
78	0.2192510334
79	0.2187825542
80	0.2180669926
81	0.2173701582
82	0.2160094557
83	0.2151774267
84	0.2145596176
85	0.2140131145
86	0.2133941004
87	0.2125498415
88	0.2117157667
89	0.2111647195
90	0.2088688075
91	0.2079405152
92	0.2075584442
93	0.2071437292
94	0.2065637476
95	0.2059839672
96	0.2047329541
97	0.2042474641
98	0.2035009129
99	0.2029565028
100	0.2015399828
101	0.2010655542
102	0.2005782978
103	0.2000083716
104	0.1993910095
105	0.1981703087
106	0.1977315182
107	0.1968000464
108	0.1964153976
109	0.1958000691
110	0.1953215129
111	0.1947714916
112	0.1941414322
113	0.1935063935
114	0.193128614
115	0.1927411068
116	0.1923349376
117	0.1912905496
118	0.1908328328
119	0.1904005179
120	0.189487539
121	0.1888725391
122	0.1885071814
123	0.1879996421
124	0.1876424829
125	0.1867539522
126	0.186324654
127	0.185562519
128	0.1848572905
129	0.1845138432
130	0.1842026943
131	0.1838986809
132	0.1826743763
133	0.1819451672
134	0.1817160227
135	0.1813426219
136	0.1810703734
137	0.1802131852
138	0.1797903985
139	0.1790012005
140	0.1786150625
141	0.1782872711
142	0.1778350952
143	0.1776313271
144	0.1774157655
145	0.1768386474
146	0.1765345323
147	0.1762792366
148	0.1760677666
149	0.1757898462
150	0.1754978028
151	0.175279273
152	0.1748466536
153	0.1745502686
154	0.1741938633
155	0.173678589
156	0.1723167041
157	0.1717606626
158	0.1713658027
159	0.1710129452
160	0.1707039461
161	0.17009346
162	0.1691109275
163	0.1686157107
164	0.1669601108
165	0.1665898822
166	0.1662092118
167	0.1660583915
168	0.1658365951
169	0.1654710919
170	0.1652396548
171	0.1650218184
172	0.1636812918
173	0.1634506456
174	0.16329593
175	0.1630832798
176	0.1626802876
177	0.1623675671
178	0.1618231817
179	0.1615879574
180	0.1608034623
181	0.1605316739
182	0.1602930102
183	0.1597473222
184	0.1595539065
185	0.1592637291
186	0.1590303192
187	0.1587664596
188	0.1583934726
189	0.1580088291
190	0.1577209191
191	0.157077562
192	0.1568825817
193	0.1566659172
194	0.1564189747
195	0.1562134862
196	0.1554181105
197	0.1552512638
198	0.15498013
199	0.1547671243
200	0.1545800769
201	0.154338131
202	0.1540999441
203	0.1537659071
204	0.1535365407
205	0.1532122434
206	0.153045168
207	0.152805954
208	0.151502782
209	0.1511042716
210	0.1508461952
211	0.1505623136
212	0.1504202404
213	0.1502240497
214	0.1497664623
215	0.1489113086
216	0.1485307187
217	0.1483401496
218	0.1481400306
219	0.1478881436
220	0.147232301
