iter	Passed	Remaining
0	63	63294
1	69	34585
2	74	24918
3	80	20082
4	86	17156
5	91	15211
6	97	13813
7	102	12721
8	108	11947
9	114	11332
10	120	10835
11	125	10371
12	131	9962
13	136	9612
14	142	9340
15	147	9076
16	153	8850
17	158	8640
18	164	8471
19	169	8300
20	174	8149
21	180	8017
22	185	7883
23	191	7774
24	196	7655
25	201	7537
26	206	7441
27	211	7340
28	216	7242
29	221	7152
30	226	7075
31	231	6991
32	236	6919
33	241	6855
34	246	6786
35	251	6729
36	255	6661
37	260	6596
38	265	6540
39	270	6489
40	275	6436
41	280	6389
42	284	6342
43	290	6306
44	295	6274
45	301	6245
46	306	6206
47	310	6166
48	316	6136
49	320	6097
50	325	6064
51	330	6032
52	335	6002
53	340	5966
54	345	5937
55	350	5914
56	355	5884
57	360	5857
58	365	5827
59	370	5801
60	375	5781
61	380	5753
62	385	5732
63	390	5707
64	395	5687
65	400	5664
66	405	5646
67	410	5628
68	415	5612
69	420	5589
70	425	5566
71	430	5550
72	435	5534
73	440	5517
74	445	5500
75	450	5478
76	455	5461
77	460	5443
78	465	5423
79	470	5405
80	475	5391
81	480	5376
82	485	5358
83	489	5339
84	494	5326
85	499	5313
86	504	5297
87	509	5279
88	514	5265
89	520	5257
90	524	5241
91	529	5227
92	534	5212
93	539	5197
94	544	5185
95	548	5166
96	553	5154
97	558	5140
98	563	5129
99	568	5114
100	573	5100
101	578	5091
102	583	5079
103	588	5066
104	593	5055
105	598	5044
106	603	5033
107	608	5023
108	613	5011
109	618	5000
110	624	4997
111	629	4990
112	634	4982
113	640	4974
114	645	4964
115	650	4955
116	655	4946
117	660	4937
118	665	4929
119	670	4918
120	675	4907
121	680	4898
122	685	4887
123	690	4877
124	696	4873
125	701	4863
126	706	4857
127	712	4853
128	718	4847
129	723	4841
130	729	4837
131	734	4833
132	740	4824
133	746	4821
134	751	4814
135	755	4802
136	760	4793
137	765	4783
138	770	4773
139	776	4767
140	780	4757
141	785	4747
142	790	4739
143	795	4730
144	800	4720
145	806	4715
146	810	4705
147	815	4696
148	820	4687
149	825	4679
150	830	4668
151	835	4659
152	840	4655
153	846	4649
154	850	4639
155	856	4632
156	861	4623
157	866	4615
158	871	4607
159	876	4600
160	881	4593
161	886	4585
162	891	4577
163	897	4573
164	902	4568
165	908	4563
166	913	4558
167	918	4550
168	924	4543
169	929	4539
170	934	4532
171	939	4524
172	945	4519
173	950	4512
174	955	4505
175	960	4498
176	965	4491
177	970	4482
178	975	4473
179	979	4463
180	984	4456
181	990	4451
182	995	4444
183	1000	4437
184	1005	4430
185	1010	4422
186	1015	4415
187	1020	4407
188	1025	4402
189	1030	4392
190	1035	4384
191	1040	4377
192	1045	4369
193	1050	4362
194	1055	4355
195	1059	4347
196	1064	4340
197	1069	4332
198	1074	4324
199	1079	4317
200	1084	4309
201	1089	4303
202	1094	4295
203	1099	4291
204	1104	4283
205	1109	4277
206	1114	4270
207	1119	4263
